point_id;point_type_id;Date;jww003i0
1;1;202605170000;103
1;1;202605170100;102
1;1;202605170200;101
1;1;202605170300;102
1;1;202605170400;102
1;1;202605170500;102
1;1;202605170600;2
1;1;202605170700;1
1;1;202605170800;2
1;1;202605170900;2
1;1;202605171000;2
1;1;202605171100;3
1;1;202605171200;3
1;1;202605171300;35
1;1;202605171400;35
1;1;202605171500;35
1;1;202605171600;3
1;1;202605171700;3
1;1;202605171800;3
1;1;202605171900;2
1;1;202605172000;1
1;1;202605172100;101
1;1;202605172200;101
1;1;202605172300;101
1;1;202605180000;101
1;1;202605180100;101
1;1;202605180200;102
1;1;202605180300;102
1;1;202605180400;103
1;1;202605180500;103
1;1;202605180600;3
1;1;202605180700;3
1;1;202605180800;3
1;1;202605180900;3
1;1;202605181000;35
1;1;202605181100;35
1;1;202605181200;35
1;1;202605181300;35
1;1;202605181400;35
1;1;202605181500;17
1;1;202605181600;17
1;1;202605181700;18
1;1;202605181800;18
1;1;202605181900;18
1;1;202605182000;18
1;1;202605182100;119
1;1;202605182200;119
1;1;202605182300;119
1;1;202605190000;116
1;1;202605190100;108
1;1;202605190200;104
1;1;202605190300;103
1;1;202605190400;135
1;1;202605190500;103
1;1;202605190600;3
1;1;202605190700;3
1;1;202605190800;3
1;1;202605190900;3
1;1;202605191000;3
1;1;202605191100;3
1;1;202605191200;3
1;1;202605191300;3
1;1;202605191400;3
1;1;202605191500;3
1;1;202605191600;3
1;1;202605191700;35
1;1;202605191800;35
1;1;202605191900;35
1;1;202605192000;35
1;1;202605192100;135
1;1;202605192200;135
1;1;202605192300;135
1;1;202605200000;135
1;1;202605200100;135
1;1;202605200200;135
1;1;202605200300;135
1;1;202605200400;135
1;1;202605200500;135
1;1;202605200600;35
1;1;202605200700;35
1;1;202605200800;35
1;1;202605200900;35
1;1;202605201000;35
1;1;202605201100;35
1;1;202605201200;35
1;1;202605201300;35
1;1;202605201400;5
1;1;202605201500;35
1;1;202605201600;14
1;1;202605201700;14
1;1;202605201800;35
1;1;202605201900;14
1;1;202605202000;14
1;1;202605202100;135
1;1;202605202200;103
1;1;202605202300;103
1;1;202605210000;103
1;1;202605210100;103
1;1;202605210200;103
1;1;202605210300;103
1;1;202605210400;103
1;1;202605210500;103
1;1;202605210600;3
1;1;202605210700;2
1;1;202605210800;2
1;1;202605210900;2
1;1;202605211000;2
1;1;202605211100;2
1;1;202605211200;2
1;1;202605211300;3
1;1;202605211400;3
1;1;202605211500;3
1;1;202605211600;3
1;1;202605211700;3
1;1;202605211800;3
1;1;202605211900;2
1;1;202605212000;2
1;1;202605212100;102
1;1;202605212200;102
1;1;202605212300;102
1;1;202605220000;102
1;1;202605220100;127
1;1;202605220200;127
1;1;202605220300;127
1;1;202605220400;127
1;1;202605220500;127
1;1;202605220600;27
1;1;202605220700;1
1;1;202605220800;1
1;1;202605220900;1
1;1;202605221000;1
1;1;202605221100;1
1;1;202605221200;2
1;1;202605221300;2
1;1;202605221400;2
1;1;202605221500;2
1;1;202605221600;2
1;1;202605221700;2
1;1;202605221800;2
1;1;202605221900;2
1;1;202605222000;2
1;1;202605222100;102
1;1;202605222200;102
1;1;202605222300;102
1;1;202605230000;102
1;1;202605230100;127
1;1;202605230200;127
1;1;202605230300;127
1;1;202605230400;127
1;1;202605230500;127
1;1;202605230600;27
1;1;202605230700;27
1;1;202605230800;1
1;1;202605230900;1
1;1;202605231000;2
1;1;202605231100;2
1;1;202605231200;2
1;1;202605231300;2
1;1;202605231400;2
1;1;202605231500;2
1;1;202605231600;2
1;1;202605231700;2
1;1;202605231800;2
1;1;202605231900;2
1;1;202605232000;2
1;1;202605232100;102
1;1;202605232200;102
1;1;202605232300;102
1;1;202605240000;103
1;1;202605240100;127
1;1;202605240200;127
1;1;202605240300;127
1;1;202605240400;102
1;1;202605240500;102
1;1;202605240600;2
1;1;202605240700;2
1;1;202605240800;2
1;1;202605240900;2
1;1;202605241000;2
1;1;202605241100;2
1;1;202605241200;2
1;1;202605241300;2
1;1;202605241400;2
1;1;202605241500;2
1;1;202605241600;2
1;1;202605241700;3
1;1;202605241800;29
1;1;202605241900;29
1;1;202605242000;29
1;1;202605242100;103
1;1;202605242200;103
1;1;202605242300;103
1;1;202605250000;103
1;1;202605250100;103
1;1;202605250200;103
1;1;202605250300;103
1;1;202605250400;102
1;1;202605250500;102
1;1;202605250600;2
