point_id;point_type_id;Date;tre200h0
1;1;202605162100;-1.3
2;1;202605162100;6.9
3;1;202605162100;4.8
4;1;202605162100;6.5
6;1;202605162100;7.0
7;1;202605162100;5.0
8;1;202605162100;2.6
9;1;202605162100;3.4
10;1;202605162100;1.2
11;1;202605162100;6.9
13;1;202605162100;4.0
14;1;202605162100;6.6
15;1;202605162100;3.1
17;1;202605162100;4.2
18;1;202605162100;7.6
19;1;202605162100;3.2
20;1;202605162100;1.9
22;1;202605162100;8.8
23;1;202605162100;-3.0
24;1;202605162100;1.1
25;1;202605162100;3.3
26;1;202605162100;0.6
27;1;202605162100;8.4
28;1;202605162100;7.9
29;1;202605162100;-0.8
30;1;202605162100;3.5
31;1;202605162100;-1.1
32;1;202605162100;6.7
33;1;202605162100;-13.1
34;1;202605162100;7.5
35;1;202605162100;-6.1
36;1;202605162100;6.2
37;1;202605162100;8.1
38;1;202605162100;-1.8
39;1;202605162100;6.1
40;1;202605162100;0.4
41;1;202605162100;1.8
42;1;202605162100;-0.3
43;1;202605162100;-3.1
44;1;202605162100;8.0
45;1;202605162100;3.2
46;1;202605162100;5.5
47;1;202605162100;14.1
48;1;202605162100;2.1
49;1;202605162100;9.5
50;1;202605162100;14.8
51;1;202605162100;8.3
52;1;202605162100;13.4
53;1;202605162100;6.4
54;1;202605162100;4.3
56;1;202605162100;5.9
57;1;202605162100;6.4
58;1;202605162100;8.3
59;1;202605162100;9.2
60;1;202605162100;-4.4
61;1;202605162100;8.6
62;1;202605162100;-6.8
63;1;202605162100;1.5
64;1;202605162100;9.4
65;1;202605162100;1.5
66;1;202605162100;7.2
67;1;202605162100;7.6
68;1;202605162100;8.5
69;1;202605162100;2.7
70;1;202605162100;6.5
71;1;202605162100;7.9
72;1;202605162100;1.5
73;1;202605162100;-8.0
74;1;202605162100;-11.3
75;1;202605162100;7.8
76;1;202605162100;8.1
77;1;202605162100;2.5
78;1;202605162100;8.4
79;1;202605162100;6.8
80;1;202605162100;8.9
81;1;202605162100;7.9
82;1;202605162100;5.6
83;1;202605162100;8.5
84;1;202605162100;13.1
85;1;202605162100;8.2
86;1;202605162100;8.0
87;1;202605162100;3.0
88;1;202605162100;0.0
89;1;202605162100;8.6
91;1;202605162100;-2.5
92;1;202605162100;11.0
93;1;202605162100;6.3
94;1;202605162100;5.2
95;1;202605162100;4.3
96;1;202605162100;0.2
97;1;202605162100;7.6
103;1;202605162100;6.7
106;1;202605162100;6.1
118;1;202605162100;3.6
123;1;202605162100;8.8
129;1;202605162100;7.1
131;1;202605162100;2.5
140;1;202605162100;8.8
141;1;202605162100;6.6
143;1;202605162100;4.0
146;1;202605162100;7.9
152;1;202605162100;5.2
162;1;202605162100;8.7
165;1;202605162100;3.3
167;1;202605162100;2.7
172;1;202605162100;2.9
178;1;202605162100;6.9
181;1;202605162100;7.7
182;1;202605162100;5.2
186;1;202605162100;4.4
192;1;202605162100;5.8
204;1;202605162100;4.6
205;1;202605162100;8.6
211;1;202605162100;4.3
224;1;202605162100;0.6
229;1;202605162100;12.3
233;1;202605162100;4.9
239;1;202605162100;7.9
240;1;202605162100;7.1
244;1;202605162100;6.0
247;1;202605162100;3.7
255;1;202605162100;6.0
256;1;202605162100;8.2
257;1;202605162100;2.3
266;1;202605162100;9.0
268;1;202605162100;8.2
270;1;202605162100;8.1
272;1;202605162100;6.2
273;1;202605162100;-8.7
274;1;202605162100;5.9
280;1;202605162100;1.9
281;1;202605162100;-0.6
290;1;202605162100;7.8
294;1;202605162100;3.9
297;1;202605162100;7.9
301;1;202605162100;7.4
308;1;202605162100;6.5
309;1;202605162100;3.1
311;1;202605162100;5.8
316;1;202605162100;7.6
317;1;202605162100;1.0
321;1;202605162100;1.4
326;1;202605162100;2.0
331;1;202605162100;8.1
332;1;202605162100;4.3
338;1;202605162100;2.8
341;1;202605162100;1.1
342;1;202605162100;3.2
355;1;202605162100;5.8
358;1;202605162100;3.1
359;1;202605162100;7.9
361;1;202605162100;4.8
379;1;202605162100;5.8
384;1;202605162100;1.1
385;1;202605162100;7.0
388;1;202605162100;7.5
389;1;202605162100;7.2
392;1;202605162100;4.8
396;1;202605162100;3.9
404;1;202605162100;4.9
405;1;202605162100;4.8
407;1;202605162100;7.1
409;1;202605162100;-1.9
414;1;202605162100;-3.0
415;1;202605162100;12.9
417;1;202605162100;-1.6
419;1;202605162100;8.4
423;1;202605162100;6.4
426;1;202605162100;5.9
429;1;202605162100;6.4
432;1;202605162100;6.3
433;1;202605162100;4.0
435;3;202605162100;-9.0
436;1;202605162100;4.9
436;3;202605162100;-7.9
437;3;202605162100;-2.8
438;3;202605162100;-5.9
439;3;202605162100;-2.8
440;3;202605162100;-6.9
441;3;202605162100;-6.3
442;3;202605162100;0.7
443;3;202605162100;-5.7
444;3;202605162100;-5.5
445;3;202605162100;-7.6
446;3;202605162100;-5.4
447;3;202605162100;-5.6
448;3;202605162100;-5.2
449;3;202605162100;-7.5
450;3;202605162100;-1.3
451;1;202605162100;6.9
451;3;202605162100;-4.9
452;3;202605162100;-3.4
453;3;202605162100;-4.2
454;1;202605162100;7.7
454;3;202605162100;-6.2
455;1;202605162100;7.1
455;3;202605162100;-3.1
456;1;202605162100;8.4
456;3;202605162100;-1.2
